BALANCE,1.783852137E10
Ministry of Interior,4.12203132E9
Ministry of Foreign Affairs,4.7840463E8
Ministry of National Defense,6.99263928E9
Ministry of Health,7.76253555E9
Ministry of Justice,6.7278123E8
Ministry of Education, Religious Affairs, and Sports,6.69629367E9
Ministry of Culture,6.4657791E8
Ministry of National Economy and Finance,1.7002348308E12
Ministry of Rural Development and Food,1.48883823E9
Ministry of Environment and Energy,3.10211748E9
Ministry of Labor and Social Security,1.891006722E10
Ministry of Social Cohesion and Family,3.76528284E9
Ministry of Development,7.9049124E8
Ministry of Infrastructure and Transport,3.35783844E9
Ministry of Shipping and Island Policy,7.4902707E8
Ministry of Tourism,2.3561208E8
Ministry of Digital Governance,1.37748897E9
Ministry of Migration and Asylum,5.3077167E8
Ministry of Citizen Protection,2.57725215E9
Ministry of Climate Crisis and Civil Protection,1.42373385E9
