BALANCE,40.0
Ministry of Interior,4.163667997E9
Ministry of Foreign Affairs,4.83236998E8
Ministry of National Defense,7.063271998E9
Ministry of Health,7.841944998E9
Ministry of Justice,6.79576998E8
Ministry of Education, Religious Affairs, and Sports,6.763932994E9
Ministry of Culture,6.53108998E8
Ministry of National Economy and Finance,1.717408919998E12
Ministry of Rural Development and Food,1.503876998E9
Ministry of Environment and Energy,3.133451998E9
Ministry of Labor and Social Security,1.9101077998E10
Ministry of Social Cohesion and Family,3.803315998E9
Ministry of Development,7.98475998E8
Ministry of Infrastructure and Transport,3.391755998E9
Ministry of Shipping and Island Policy,7.56592998E8
Ministry of Tourism,2.37991998E8
Ministry of Digital Governance,1.391402998E9
Ministry of Migration and Asylum,5.36132998E8
Ministry of Citizen Protection,2.603284998E9
Ministry of Climate Crisis and Civil Protection,1.438114998E9
