BALANCE,100000.0
Ministry of Interior,4.163667999E9
Ministry of Foreign Affairs,4.83236999E8
Ministry of National Defense,7.063271999E9
Ministry of Health,7.741944999E9
Ministry of Justice,6.79576999E8
Ministry of Education, Religious Affairs, and Sports,6.763932999E9
Ministry of Culture,6.53108999E8
Ministry of National Economy and Finance,1.717408919999E12
Ministry of Rural Development and Food,1.503876999E9
Ministry of Environment and Energy,3.133451999E9
Ministry of Labor and Social Security,1.9101077999E10
Ministry of Social Cohesion and Family,3.803315999E9
Ministry of Development,7.98475999E8
Ministry of Infrastructure and Transport,3.391755999E9
Ministry of Shipping and Island Policy,7.56592999E8
Ministry of Tourism,2.37991999E8
Ministry of Digital Governance,1.391402999E9
Ministry of Migration and Asylum,5.36132999E8
Ministry of Citizen Protection,2.603284999E9
Ministry of Climate Crisis and Civil Protection,1.438115E9
