Ministry of Interior| 2021 budget: 2.986.769.000$ | 2022 budget: 3.238.568.000$
Ministry of Foreign Affairs| 2021 budget: 288.237.000$ | 2022 budget: 268.622.000$
Ministry of National Defense| 2021 budget: 5.495.900.000$ | 2022 budget: 6.465.600.000$
Ministry of Health| 2021 budget: 4.256.596.000$ | 2022 budget: 4.657.271.000$
Ministry of Justice| 2021 budget: 533.261.000$ | 2022 budget: 578.368.000$
Ministry of Education, Religious Affairs, and Sports| 2021 budget: 5.605.100.000$ | 2022 budget: 5.841.100.000$
Ministry of Culture| 2021 budget: 359.100.000$ | 2022 budget: 417.553.000$
Ministry of National Economy and Finance| 2021 budget: 747.475.497.000$ | 2022 budget: 751.576.826.000$
Ministry of Rural Development and Food| 2021 budget: 1.198.963.000$ | 2022 budget: 1.041.436.000$
Ministry of Environment and Energy| 2021 budget: 762.375.000$ | 2022 budget: 1.415.581.000$
Ministry of Labor and Social Security| 2021 budget: 22.689.305.000$ | 2022 budget: 21.612.496.000$
Ministry of Social Cohesion and Family| 2021 budget: 0$ | 2022 budget: 0$
Ministry of Development| 2021 budget: 5.301.196.000$ | 2022 budget: 2.926.720.000$
Ministry of Infrastructure and Transport| 2021 budget: 1.584.688.000$ | 2022 budget: 2.046.210.000$
Ministry of Shipping and Island Policy| 2021 budget: 408.600.000$ | 2022 budget: 451.427.000$
Ministry of Tourism| 2021 budget: 57.240.000$ | 2022 budget: 84.485.000$
Ministry of Digital Governance| 2021 budget: 2.488.481.000$ | 2022 budget: 954.578.000$
Ministry of Migration and Asylum| 2021 budget: 236.109.000$ | 2022 budget: 243.642.000$
Ministry of Citizen Protection| 2021 budget: 127.884.000$ | 2022 budget: 1.975.413.000$
Ministry of Climate Crisis and Civil Protection| 2021 budget: 0$ | 2022 budget: 595.021.000$
