========================================================================================================================
                                            BUDGET COMPARISON: 2026 vs 2020
========================================================================================================================
MINISTRY                                                              2026 BUDGET          2020 BUDGET
------------------------------------------------------------------------------------------------------------------------
Ministry of Interior                                                4.163.668.000        2.997.671.000
Ministry of Foreign Affairs                                           483.237.000          278.109.000
Ministry of National Defense                                        7.063.272.000        3.397.000.000
Ministry of Health                                                  7.841.945.000        3.858.660.000
Ministry of Justice                                                   679.577.000          532.754.000
Ministry of Education, Religious Affairs, and Sports                6.763.933.000        5.463.000.000
Ministry of Culture                                                   653.109.000          335.200.000
Ministry of National Economy and Finance                        1.717.408.920.000      632.788.383.000
Ministry of Rural Development and Food                              1.503.877.000        1.071.473.000
Ministry of Environment and Energy                                  3.133.452.000          660.805.000
Ministry of Labor and Social Security                              19.101.078.000       19.891.800.000
Ministry of Social Cohesion and Family                              3.803.316.000                    0
Ministry of Development                                               798.476.000        2.419.846.000
Ministry of Infrastructure and Transport                            3.391.756.000        2.000.867.000
Ministry of Shipping and Island Policy                                756.593.000          406.800.000
Ministry of Tourism                                                   237.992.000           69.680.000
Ministry of Digital Governance                                      1.391.403.000        2.470.481.000
Ministry of Migration and Asylum                                      536.133.000          192.279.000
Ministry of Citizen Protection                                      2.603.285.000                    0
Ministry of Climate Crisis and Civil Protection                     1.438.115.000                    0
========================================================================================================================
