Total Votes: 4
Ministry of Interior, 0 Votes
Ministry of Foreign Affairs, 1 Votes
Ministry of National Defense, 2 Votes
Ministry of Health, 1 Votes
Ministry of Justice, 0 Votes
Ministry of Education, Religious Affairs, and Sports, 0 Votes
Ministry of Culture, 0 Votes
Ministry of National Economy and Finance, 0 Votes
Ministry of Rural Development and Food, 0 Votes
Ministry of Environment and Energy, 0 Votes
Ministry of Labor and Social Security, 0 Votes
Ministry of Social Cohesion and Family, 0 Votes
Ministry of Development, 0 Votes
Ministry of Infrastructure and Transport, 0 Votes
Ministry of Shipping and Island Policy, 0 Votes
Ministry of Tourism, 0 Votes
Ministry of Digital Governance, 0 Votes
Ministry of Migration and Asylum, 0 Votes
Ministry of Citizen Protection, 0 Votes
Ministry of Climate Crisis and Civil Protection, 0 Votes
