BALANCE,1.781853137E10
Ministry of Interior,4.12303132E9
Ministry of Foreign Affairs,4.7940463E8
Ministry of National Defense,6.99363928E9
Ministry of Health,7.76452555E9
Ministry of Justice,6.7378123E8
Ministry of Education, Religious Affairs, and Sports,6.69729367E9
Ministry of Culture,6.4757791E8
Ministry of National Economy and Finance,1.7002358308E12
Ministry of Rural Development and Food,1.48983823E9
Ministry of Environment and Energy,3.10311748E9
Ministry of Labor and Social Security,1.891106722E10
Ministry of Social Cohesion and Family,3.76628284E9
Ministry of Development,7.9149124E8
Ministry of Infrastructure and Transport,3.35883844E9
Ministry of Shipping and Island Policy,7.5002707E8
Ministry of Tourism,2.3661208E8
Ministry of Digital Governance,1.37848897E9
Ministry of Migration and Asylum,5.3177167E8
Ministry of Citizen Protection,2.57825215E9
Ministry of Climate Crisis and Civil Protection,1.42373385E9
