BALANCE,1.0E7
Ministry of Interior,4.163668E9
Ministry of Foreign Affairs,4.83237E8
Ministry of National Defense,7.063272E9
Ministry of Health,7.841945E9
Ministry of Justice,6.79577E8
Ministry of Education, Religious Affairs, and Sports,6.763933E9
Ministry of Culture,6.43109E8
Ministry of National Economy and Finance,1.71740892E12
Ministry of Rural Development and Food,1.503877E9
Ministry of Environment and Energy,3.133452E9
Ministry of Labor and Social Security,1.9101078E10
Ministry of Social Cohesion and Family,3.803316E9
Ministry of Development,7.98476E8
Ministry of Infrastructure and Transport,3.391756E9
Ministry of Shipping and Island Policy,7.56593E8
Ministry of Tourism,2.37992E8
Ministry of Digital Governance,1.391403E9
Ministry of Migration and Asylum,5.36133E8
Ministry of Citizen Protection,2.603285E9
Ministry of Climate Crisis and Civil Protection,1.438115E9
