BALANCE,3.567507254E10
Ministry of Interior,4.08039464E9
Ministry of Foreign Affairs,4.7357226E8
Ministry of National Defense,6.92200656E9
Ministry of Health,7.6851061E9
Ministry of Justice,6.6598546E8
Ministry of Education, Religious Affairs, and Sports,6.62865434E9
Ministry of Culture,6.4004682E8
Ministry of National Economy and Finance,1.6830607416E12
Ministry of Rural Development and Food,1.47379946E9
Ministry of Environment and Energy,3.07078296E9
Ministry of Labor and Social Security,1.871905644E10
Ministry of Social Cohesion and Family,3.72724968E9
Ministry of Development,7.8250648E8
Ministry of Infrastructure and Transport,3.32392088E9
Ministry of Shipping and Island Policy,7.4146114E8
Ministry of Tourism,2.3323216E8
Ministry of Digital Governance,1.36357494E9
Ministry of Migration and Asylum,5.2541034E8
Ministry of Citizen Protection,2.5512095E9
Ministry of Climate Crisis and Civil Protection,1.4093527E9
